"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","674","Scenario_2: Create user, validate success and creation date is today (Europe/Warsaw)","Chromium","Sat Nov 15 21:45:25 CET 2025","passed","Sat Nov 15 21:45:25 CET 2025","","","",""
"","622","API: list users with delay=0","Chromium","Sat Nov 15 21:45:25 CET 2025","passed","Sat Nov 15 21:45:25 CET 2025","","","",""
"","1981","Scenario 4, locked_out_user cannot login","Chromium","Sat Nov 15 21:45:28 CET 2025","passed","Sat Nov 15 21:45:30 CET 2025","","","",""
"","3185","Login → add all → remove 3rd in cart → checkout → confirmed","Chromium","Sat Nov 15 21:45:25 CET 2025","passed","Sat Nov 15 21:45:29 CET 2025","Scenario_1 – full checkout flow","","",""
"","2386","Scenario 2, problem_user: add one item by name from details page","Chromium","Sat Nov 15 21:45:25 CET 2025","passed","Sat Nov 15 21:45:28 CET 2025","","","",""
"","2521","Scenario 3, standard_user: sort products by name A→Z and validate","Chromium","Sat Nov 15 21:45:26 CET 2025","passed","Sat Nov 15 21:45:28 CET 2025","","","",""
"","636","API: list users and print odd IDs","Chromium","Sat Nov 15 21:45:25 CET 2025","passed","Sat Nov 15 21:45:25 CET 2025","","","",""
"","638","API: update user and validate response matches request body where applicable","Chromium","Sat Nov 15 21:45:25 CET 2025","passed","Sat Nov 15 21:45:25 CET 2025","","","",""
"","145","API: login user without password → should fail","Chromium","Sat Nov 15 21:45:25 CET 2025","passed","Sat Nov 15 21:45:26 CET 2025","","","",""
"","3226","API: list users with delay=3","Chromium","Sat Nov 15 21:45:25 CET 2025","passed","Sat Nov 15 21:45:29 CET 2025","","","",""
